('PRT', 'CONJ', '.') = 1
('CONJ', 'ADP', 'PRT') = 30
('CONJ', 'NUM', 'VERB') = 31
('ADJ', 'ADP', '.') = 31
('DET', 'X', 'X') = 31
('', 'DET', '.') = 31
('PRON', 'ADV', 'PRT') = 31
('.', 'NOUN', 'PRON') = 31
('CONJ', 'ADP', 'ADP') = 31
('DET', '.', 'VERB') = 32
('ADJ', 'CONJ', 'ADP') = 32
('ADP', '.', 'CONJ') = 32
('DET', 'VERB', 'NUM') = 32
('PRON', 'ADV', 'PRON') = 32
('ADJ', 'CONJ', 'PRON') = 32
('ADV', 'PRON', 'ADV') = 33
('NUM', 'ADJ', 'ADJ') = 33
('', 'DET', 'PRON') = 33
('.', 'NOUN', 'DET') = 33
('DET', '.', 'CONJ') = 33
('', 'NUM', 'ADJ') = 33
('CONJ', 'PRT', 'ADV') = 33
('NUM', 'VERB', 'ADV') = 34
('ADJ', 'VERB', '.') = 34
('PRON', 'ADJ', 'PRT') = 34
('ADP', 'ADP', 'NUM') = 34
('CONJ', 'DET', 'ADP') = 34
('ADJ', 'ADV', 'VERB') = 34
('ADJ', 'NUM', '.') = 34
('NUM', '.', 'PRON') = 34
('CONJ', 'VERB', 'NUM') = 34
('VERB', 'PRT', 'PRON') = 34
('.', 'PRON', '.') = 35
('NOUN', 'DET', '.') = 35
('.', 'X', '.') = 35
('CONJ', 'PRON', '.') = 35
('ADP', 'ADP', 'ADV') = 35
('ADV', 'PRON', '.') = 35
('ADV', 'NUM', 'ADP') = 35
('ADV', 'NUM', '.') = 35
('PRT', 'ADP', 'ADV') = 35
('ADV', 'PRT', 'DET') = 35
('PRON', 'DET', 'VERB') = 36
('ADV', 'CONJ', 'ADP') = 36
('ADP', '.', 'ADV') = 36
('PRON', 'PRT', 'ADV') = 36
('ADP', 'PRON', 'ADJ') = 36
('', 'ADV', 'NUM') = 36
('ADP', 'ADP', 'ADP') = 36
('ADP', '.', 'ADJ') = 36
('CONJ', 'PRT', 'ADP') = 37
('ADJ', 'DET', 'ADJ') = 37
('PRT', 'NUM', 'NOUN') = 37
('PRON', 'NOUN', 'ADP') = 37
('PRON', 'ADP', 'ADV') = 38
('DET', 'ADJ', 'DET') = 38
('VERB', 'ADJ', 'PRON') = 38
('ADP', '.', 'VERB') = 38
('CONJ', 'NOUN', 'ADJ') = 38
('DET', 'ADJ', 'PRT') = 38
('.', 'PRT', 'PRON') = 38
('.', 'ADP', '.') = 39
('PRON', 'ADV', 'CONJ') = 39
('NUM', 'VERB', 'ADP') = 39
('NUM', 'VERB', 'DET') = 39
('DET', '.', 'ADV') = 40
('VERB', 'CONJ', 'PRON') = 40
('ADV', 'CONJ', 'PRON') = 40
('', 'VERB', 'ADV') = 40
('NUM', 'DET', 'NOUN') = 40
('ADV', 'VERB', 'NUM') = 40
('', 'PRT', 'NOUN') = 41
('CONJ', '.', 'VERB') = 41
('NOUN', 'ADP', 'CONJ') = 41
('ADV', 'DET', 'ADV') = 41
('CONJ', 'DET', '.') = 41
('X', '.', '.') = 41
('PRON', 'ADP', 'ADP') = 42
('.', 'X', 'X') = 42
('.', 'PRT', 'PRT') = 42
('PRT', 'CONJ', 'PRT') = 43
('VERB', 'CONJ', 'ADP') = 43
('', 'NUM', 'ADP') = 44
('ADP', 'NUM', 'NUM') = 44
('PRT', 'ADJ', 'ADP') = 44
('ADJ', '.', 'PRT') = 44
('PRON', 'NOUN', 'VERB') = 44
('ADJ', 'VERB', 'ADV') = 44
('ADV', 'NOUN', 'CONJ') = 44
('ADJ', 'ADV', 'ADV') = 44
('DET', 'VERB', 'CONJ') = 45
('NOUN', 'ADJ', 'VERB') = 45
('.', 'ADV', 'NUM') = 45
('ADP', 'NUM', 'DET') = 45
('DET', 'NUM', 'VERB') = 45
('', 'DET', 'ADP') = 45
('CONJ', 'PRT', 'DET') = 45
('NUM', 'PRON', 'VERB') = 45
('ADP', 'ADP', 'PRT') = 45
('ADV', 'PRT', '.') = 46
('ADP', 'ADV', 'PRT') = 46
('PRON', 'CONJ', 'PRON') = 46
('NOUN', 'ADJ', 'ADJ') = 46
('.', 'VERB', 'NUM') = 46
('NOUN', 'ADJ', 'PRT') = 46
('CONJ', 'ADJ', 'VERB') = 47
('ADP', 'DET', 'PRT') = 47
('X', '.', 'STOP') = 47
('VERB', 'DET', 'PRT') = 47
('ADJ', 'ADJ', '.') = 47
('ADP', 'ADJ', 'NUM') = 47
('ADP', 'ADP', 'VERB') = 47
('PRON', 'CONJ', 'DET') = 48
('ADP', '.', '.') = 48
('NUM', '.', 'ADV') = 48
('', 'PRT', 'ADP') = 48
('ADP', 'PRT', 'ADP') = 48
('NUM', 'ADV', '.') = 49
('DET', 'NUM', 'ADP') = 49
('ADJ', 'ADJ', 'CONJ') = 49
('', 'CONJ', '.') = 49
('CONJ', '.', 'NOUN') = 50
('ADP', 'PRON', 'PRON') = 50
('.', 'DET', '.') = 50
('DET', '.', 'ADP') = 50
('CONJ', 'NOUN', 'PRON') = 50
('ADJ', 'VERB', 'DET') = 50
('PRON', 'CONJ', 'NOUN') = 51
('PRON', 'ADJ', 'ADP') = 51
('NUM', 'NOUN', 'PRON') = 52
('CONJ', 'NOUN', 'PRT') = 52
('ADV', 'ADV', 'NOUN') = 52
('PRT', 'ADV', 'DET') = 52
('', 'ADJ', 'ADJ') = 53
('.', 'DET', 'PRON') = 53
('ADP', '.', 'DET') = 53
('', 'ADJ', '.') = 53
('NOUN', 'DET', 'ADV') = 53
('ADV', 'ADJ', 'VERB') = 54
('ADP', 'DET', 'X') = 55
('.', 'PRT', 'NOUN') = 55
('NUM', 'NOUN', 'PRT') = 55
('ADP', 'NUM', 'ADV') = 55
('ADP', 'ADV', 'ADV') = 55
('CONJ', 'VERB', 'CONJ') = 56
('DET', 'ADV', '.') = 56
('DET', 'ADV', 'ADV') = 56
('DET', 'ADJ', 'ADV') = 56
('VERB', 'NUM', '.') = 57
('PRT', 'ADP', 'ADJ') = 57
('VERB', 'ADP', 'CONJ') = 57
('ADP', 'ADV', 'ADP') = 57
('NOUN', 'PRT', 'ADV') = 57
('CONJ', 'NOUN', 'DET') = 57
('PRT', 'ADP', 'NUM') = 58
('ADJ', 'CONJ', 'DET') = 58
('VERB', 'ADJ', 'DET') = 58
('ADV', 'ADV', 'CONJ') = 58
('CONJ', 'NUM', 'ADP') = 58
('.', 'DET', 'NUM') = 58
('PRON', '.', 'PRT') = 58
('VERB', 'DET', 'DET') = 58
('PRT', 'NOUN', 'VERB') = 58
('PRON', 'ADV', 'ADJ') = 58
('ADP', 'CONJ', 'ADP') = 58
('ADP', 'PRT', 'ADJ') = 58
('PRT', 'DET', 'VERB') = 58
('ADJ', 'VERB', 'ADP') = 60
('ADJ', 'ADP', 'ADV') = 60
('PRON', 'ADJ', 'NOUN') = 60
('CONJ', 'DET', 'ADV') = 60
('', 'VERB', 'VERB') = 60
('ADP', 'ADV', 'NOUN') = 61
('NOUN', 'NUM', 'CONJ') = 61
('', 'VERB', '.') = 61
('NOUN', 'ADJ', 'CONJ') = 61
('DET', 'NUM', 'ADJ') = 61
('', 'VERB', 'PRT') = 62
('VERB', 'ADJ', 'VERB') = 62
('ADJ', 'NOUN', 'NUM') = 63
('PRON', 'ADJ', '.') = 63
('', 'NOUN', 'ADJ') = 63
('ADV', 'ADP', 'ADV') = 63
('PRT', 'NOUN', 'NOUN') = 64
('ADJ', 'ADP', 'ADP') = 65
('NUM', 'ADP', 'PRON') = 65
('ADV', 'PRT', 'ADP') = 66
('PRT', 'ADV', 'ADV') = 66
('VERB', 'NUM', 'ADJ') = 66
('', 'ADV', 'PRT') = 66
('PRON', 'ADP', 'ADJ') = 67
('', 'ADJ', 'ADP') = 67
('ADV', 'ADV', 'PRT') = 68
('', 'CONJ', 'PRT') = 68
('DET', '.', 'ADJ') = 68
('', 'CONJ', 'VERB') = 68
('', 'DET', 'ADV') = 69
('', 'DET', 'NUM') = 69
('ADP', '.', 'ADP') = 69
('', '.', 'NUM') = 69
('ADV', 'ADJ', 'PRON') = 69
('NUM', 'VERB', 'NOUN') = 70
('NUM', 'NUM', 'NOUN') = 70
('VERB', 'CONJ', 'NOUN') = 71
('PRON', 'ADP', 'VERB') = 71
('NOUN', 'DET', 'PRON') = 71
('PRT', '.', 'ADP') = 71
('NUM', 'VERB', 'VERB') = 71
('ADP', 'PRON', 'DET') = 72
('.', 'ADJ', 'ADJ') = 72
('NUM', 'NOUN', 'ADJ') = 72
('PRT', '.', 'PRT') = 73
('ADP', 'PRON', 'NOUN') = 73
('ADP', 'ADV', 'PRON') = 73
('DET', 'DET', 'ADJ') = 73
('ADP', 'NUM', 'VERB') = 73
('CONJ', 'ADP', 'VERB') = 73
('CONJ', 'ADV', 'NOUN') = 74
('CONJ', 'ADV', 'PRT') = 74
('', 'NOUN', 'ADV') = 75
('PRT', '.', 'CONJ') = 75
('ADV', 'ADJ', 'ADV') = 75
('VERB', 'NOUN', 'NUM') = 75
('ADJ', 'ADV', 'PRT') = 75
('ADP', 'ADJ', 'VERB') = 76
('ADV', 'ADJ', 'DET') = 76
('NOUN', 'PRON', '.') = 76
('ADV', 'ADP', 'PRT') = 77
('VERB', 'PRON', 'PRON') = 77
('.', 'PRT', 'ADP') = 77
('CONJ', '.', 'ADV') = 78
('.', 'CONJ', 'NUM') = 78
('', 'ADP', 'ADV') = 78
('NUM', 'NOUN', 'DET') = 78
('NOUN', 'NUM', 'VERB') = 78
('NOUN', 'PRON', 'ADV') = 78
('ADP', 'VERB', 'CONJ') = 79
('', 'ADP', 'ADP') = 79
('.', '.', 'ADJ') = 79
('.', 'ADV', 'PRT') = 79
('CONJ', 'ADJ', 'CONJ') = 80
('ADP', '.', 'NOUN') = 81
('ADV', 'ADJ', 'ADJ') = 81
('.', 'NOUN', 'ADV') = 81
('ADJ', 'ADV', 'ADP') = 81
('DET', 'NOUN', 'NUM') = 81
('PRT', 'ADV', 'ADP') = 81
('ADJ', 'VERB', 'VERB') = 81
('.', 'DET', 'ADP') = 82
('DET', 'ADP', 'NOUN') = 82
('.', 'NOUN', 'ADJ') = 82
('PRT', 'ADV', 'ADJ') = 82
('CONJ', 'PRON', 'ADV') = 82
('ADJ', 'ADP', 'PRT') = 83
('PRT', '.', 'ADV') = 83
('ADP', 'ADV', 'NUM') = 83
('PRT', '.', 'DET') = 84
('ADJ', 'CONJ', 'NOUN') = 84
('ADV', '.', 'ADJ') = 84
('DET', 'ADP', 'PRON') = 84
('.', 'PRT', 'ADJ') = 84
('VERB', 'DET', 'NUM') = 85
('.', 'NUM', 'ADP') = 85
('CONJ', 'NUM', '.') = 85
('ADP', '.', 'STOP') = 86
('ADP', 'NUM', 'CONJ') = 86
('DET', 'PRT', 'VERB') = 86
('VERB', 'CONJ', 'ADV') = 87
('VERB', 'PRT', 'ADJ') = 87
('', 'CONJ', 'NOUN') = 87
('CONJ', 'NOUN', 'ADV') = 88
('', 'NOUN', 'NUM') = 89
('X', 'X', '.') = 90
('', '.', 'ADJ') = 90
('', 'ADP', 'PRT') = 91
('.', 'VERB', 'CONJ') = 91
('', 'ADV', 'ADJ') = 91
('ADV', 'ADP', 'NUM') = 92
('ADV', 'DET', 'VERB') = 93
('ADP', 'VERB', 'ADV') = 93
('VERB', 'CONJ', 'ADJ') = 93
('ADP', 'ADP', 'ADJ') = 93
('NOUN', 'NUM', 'NOUN') = 93
('VERB', 'VERB', 'NUM') = 94
('PRON', 'NOUN', '.') = 94
('ADV', 'ADP', 'ADP') = 95
('NOUN', 'ADV', 'CONJ') = 95
('NOUN', 'ADV', 'PRT') = 95
('', 'ADP', 'VERB') = 96
('NOUN', 'CONJ', '.') = 96
('PRT', '.', 'NOUN') = 98
('', 'PRT', 'DET') = 98
('DET', 'VERB', 'PRT') = 98
('', 'PRT', 'ADV') = 99
('.', 'ADP', 'NUM') = 99
('', 'PRT', '.') = 99
('ADJ', 'ADJ', 'ADJ') = 100
('VERB', 'ADV', 'NUM') = 100
('PRT', 'VERB', 'NUM') = 102
('', 'ADP', 'NUM') = 102
('PRT', '.', 'PRON') = 103
('ADP', 'NUM', 'ADJ') = 103
('ADP', 'VERB', 'PRON') = 103
('ADJ', 'NUM', 'NOUN') = 104
('ADP', 'ADV', 'DET') = 105
('VERB', 'DET', 'ADP') = 105
('.', 'DET', 'ADV') = 105
('PRT', 'ADJ', '.') = 106
('PRT', 'ADJ', 'NOUN') = 106
('PRON', 'PRT', 'ADP') = 106
('ADV', 'NOUN', 'ADP') = 107
('NUM', '.', 'CONJ') = 108
('ADJ', 'ADV', '.') = 108
('.', 'ADJ', 'CONJ') = 108
('NOUN', 'NOUN', 'NUM') = 109
('ADV', 'NOUN', 'NOUN') = 109
('.', '.', 'NUM') = 109
('NOUN', 'CONJ', 'NUM') = 109
('NOUN', 'ADV', 'NOUN') = 109
('DET', '.', '.') = 110
('ADP', 'PRON', 'PRT') = 110
('PRON', '.', 'DET') = 111
('NOUN', 'PRT', '.') = 111
('NUM', '.', 'ADP') = 112
('VERB', 'PRT', 'PRT') = 112
('CONJ', 'ADP', 'ADJ') = 112
('PRON', 'DET', 'ADJ') = 113
('CONJ', 'ADJ', 'ADJ') = 115
('VERB', '.', 'PRT') = 115
('PRON', 'ADV', 'ADV') = 116
('VERB', 'PRON', 'CONJ') = 116
('', 'CONJ', 'ADP') = 116
('ADV', 'ADV', 'PRON') = 116
('ADJ', '.', 'PRON') = 116
('NOUN', 'CONJ', 'PRT') = 116
('VERB', 'NUM', 'ADP') = 117
('', 'NOUN', 'CONJ') = 117
('ADJ', 'ADP', 'NUM') = 118
('PRON', 'PRT', '.') = 119
('', '.', 'CONJ') = 119
('CONJ', '.', 'ADP') = 119
('PRT', 'PRON', 'VERB') = 119
('PRT', 'PRT', 'VERB') = 120
('PRON', 'VERB', 'NUM') = 121
('VERB', 'DET', 'PRON') = 121
('PRT', 'NOUN', 'ADP') = 122
('PRON', 'CONJ', 'VERB') = 123
('DET', 'ADJ', 'NUM') = 127
('ADV', 'VERB', 'CONJ') = 129
('ADV', 'ADV', 'DET') = 129
('PRT', 'VERB', 'CONJ') = 129
('ADJ', 'ADP', 'VERB') = 130
('ADP', 'VERB', 'PRT') = 131
('VERB', 'CONJ', 'DET') = 132
('ADP', 'PRT', '.') = 132
('PRON', '.', 'PRON') = 133
('VERB', 'PRON', 'NOUN') = 133
('PRON', '.', 'NOUN') = 134
('NUM', 'NOUN', 'CONJ') = 134
('X', 'X', 'X') = 134
('ADJ', 'CONJ', 'ADV') = 134
('.', 'ADP', 'PRT') = 135
('', 'VERB', 'ADP') = 136
('NUM', '.', 'VERB') = 136
('CONJ', 'VERB', 'ADJ') = 136
('CONJ', 'NOUN', 'CONJ') = 137
('ADP', 'VERB', 'VERB') = 137
('PRON', 'ADV', 'ADP') = 137
('PRT', '.', 'VERB') = 138
('NOUN', 'ADP', '.') = 139
('CONJ', 'NUM', 'NOUN') = 140
('VERB', 'NOUN', 'DET') = 142
('.', 'ADV', 'NOUN') = 142
('', '.', 'ADP') = 142
('.', 'ADP', 'ADV') = 143
('', 'NUM', '.') = 143
('CONJ', 'ADP', 'PRON') = 144
('NOUN', 'NUM', 'ADP') = 144
('CONJ', 'ADV', 'ADV') = 145
('NUM', 'ADP', 'NOUN') = 145
('DET', '.', 'NOUN') = 147
('ADV', 'ADJ', 'PRT') = 147
('NOUN', 'PRT', 'ADP') = 148
('PRT', 'CONJ', 'VERB') = 148
('ADP', 'PRT', 'NOUN') = 149
('ADP', 'PRON', 'CONJ') = 149
('NUM', '.', 'DET') = 150
('ADP', 'ADV', 'VERB') = 150
('NOUN', 'VERB', 'NUM') = 152
('NOUN', 'NOUN', 'ADJ') = 152
('PRON', '.', 'ADV') = 152
('.', 'NOUN', 'NUM') = 153
('.', 'PRT', 'DET') = 154
('DET', 'VERB', '.') = 154
('ADV', '.', 'PRT') = 154
('PRT', 'NOUN', '.') = 156
('VERB', 'PRT', 'NOUN') = 157
('ADJ', 'PRON', 'VERB') = 157
('VERB', 'ADV', 'PRON') = 157
('NUM', 'CONJ', 'NUM') = 159
('ADV', 'NOUN', '.') = 160
('ADJ', 'DET', 'NOUN') = 160
('CONJ', 'ADJ', 'ADP') = 161
('PRON', 'PRON', 'VERB') = 161
('VERB', 'NOUN', 'PRON') = 162
('PRT', 'ADV', '.') = 163
('NUM', 'NOUN', 'ADV') = 163
('ADV', 'ADP', 'VERB') = 163
('PRON', 'VERB', 'CONJ') = 164
('DET', 'VERB', 'PRON') = 165
('.', 'PRON', 'ADV') = 165
('DET', '.', 'STOP') = 166
('VERB', 'ADV', 'NOUN') = 166
('', 'NUM', 'NOUN') = 166
('', 'VERB', 'NOUN') = 166
('', 'ADV', 'NOUN') = 166
('', 'CONJ', 'ADV') = 171
('CONJ', 'ADV', 'DET') = 171
('ADP', 'ADJ', 'ADP') = 171
('VERB', '.', 'ADJ') = 172
('VERB', 'PRT', 'CONJ') = 173
('CONJ', 'ADV', 'PRON') = 173
('VERB', 'NOUN', 'ADJ') = 173
('PRON', '.', 'ADP') = 174
('', 'ADV', 'ADV') = 175
('NOUN', 'NOUN', 'PRON') = 175
('VERB', 'DET', '.') = 176
('NUM', '.', 'NOUN') = 176
('VERB', 'ADJ', 'ADJ') = 178
('.', 'PRT', 'ADV') = 179
('ADJ', '.', 'DET') = 179
('DET', 'ADJ', 'ADP') = 179
('ADP', 'DET', 'DET') = 180
('ADP', 'ADJ', 'CONJ') = 180
('.', '.', 'PRT') = 183
('ADP', 'ADV', '.') = 185
('VERB', 'PRON', 'ADJ') = 185
('NUM', '.', 'NUM') = 186
('.', 'NUM', 'NOUN') = 186
('ADV', 'CONJ', 'VERB') = 188
('PRT', 'ADV', 'VERB') = 189
('ADJ', 'NOUN', 'ADJ') = 190
('VERB', 'ADJ', 'ADV') = 190
('CONJ', 'ADV', '.') = 191
('NOUN', 'ADV', 'DET') = 192
('ADV', 'ADJ', 'CONJ') = 192
('ADV', 'ADV', 'ADV') = 192
('', 'CONJ', 'DET') = 193
('CONJ', 'ADV', 'ADJ') = 194
('ADJ', '.', 'ADV') = 195
('.', 'CONJ', '.') = 196
('ADP', 'VERB', 'ADJ') = 196
('ADV', 'CONJ', 'ADV') = 197
('ADV', 'NUM', 'NOUN') = 202
('', 'PRON', 'ADV') = 202
('PRON', 'ADP', 'PRON') = 202
('.', 'VERB', 'ADJ') = 203
('.', 'CONJ', 'PRT') = 205
('', 'ADV', 'VERB') = 205
('PRT', 'ADP', 'PRON') = 205
('NUM', 'NOUN', 'NOUN') = 208
('ADP', 'ADP', 'PRON') = 208
('CONJ', 'ADV', 'ADP') = 208
('PRON', '.', 'CONJ') = 209
('ADJ', 'CONJ', 'VERB') = 210
('.', 'ADJ', 'ADP') = 212
('NOUN', 'CONJ', 'PRON') = 212
('.', '.', '.') = 213
('', 'ADP', 'ADJ') = 215
('NUM', 'ADP', 'NUM') = 216
('VERB', 'ADP', 'PRT') = 217
('.', 'ADP', 'VERB') = 218
('CONJ', 'DET', 'VERB') = 218
('.', 'ADV', 'PRON') = 218
('PRON', '.', 'VERB') = 219
('NOUN', 'VERB', 'CONJ') = 220
('NOUN', 'ADV', 'ADJ') = 220
('ADP', 'PRT', 'DET') = 220
('VERB', 'ADP', '.') = 221
('ADP', 'NOUN', 'ADJ') = 222
('', 'VERB', 'DET') = 224
('DET', 'DET', 'NOUN') = 225
('VERB', 'ADV', 'CONJ') = 225
('NOUN', 'NOUN', 'PRT') = 225
('ADJ', 'ADP', 'ADJ') = 225
('', 'ADV', 'ADP') = 226
('ADP', 'DET', 'ADP') = 227
('NOUN', 'ADJ', '.') = 230
('VERB', 'NOUN', 'PRT') = 230
('DET', 'ADV', 'VERB') = 231
('VERB', 'PRT', 'ADV') = 231
('CONJ', 'ADP', 'NOUN') = 231
('PRON', 'ADP', 'NOUN') = 231
('ADP', 'ADP', 'NOUN') = 232
('NOUN', 'ADV', 'PRON') = 233
('', 'CONJ', 'PRON') = 235
('NOUN', 'NOUN', 'DET') = 235
('ADV', 'ADP', 'ADJ') = 235
('PRT', '.', '.') = 236
('.', '.', 'ADV') = 237
('ADJ', '.', 'ADP') = 239
('', 'VERB', 'PRON') = 242
('ADP', 'NOUN', 'DET') = 243
('ADP', 'DET', 'PRON') = 244
('ADP', 'ADV', 'ADJ') = 244
('DET', 'VERB', 'ADP') = 248
('.', '.', 'ADP') = 252
('ADP', 'VERB', '.') = 253
('VERB', 'ADP', 'ADV') = 255
('ADP', 'PRON', 'ADV') = 256
('ADP', 'NOUN', 'PRT') = 261
('ADJ', '.', 'NOUN') = 261
('VERB', 'ADV', 'PRT') = 262
('.', 'ADV', 'DET') = 265
('PRT', 'DET', 'ADJ') = 266
('NOUN', 'DET', 'ADJ') = 266
('ADJ', '.', 'VERB') = 267
('PRT', 'ADP', 'NOUN') = 274
('.', 'ADP', 'ADP') = 274
('DET', 'VERB', 'ADJ') = 275
('ADP', 'ADJ', '.') = 276
('.', 'ADV', 'ADJ') = 276
('VERB', '.', 'PRON') = 278
('PRON', 'DET', 'NOUN') = 284
('', 'NOUN', 'ADP') = 288
('ADP', 'NOUN', 'PRON') = 289
('DET', 'ADJ', 'VERB') = 291
('NUM', 'ADJ', 'NOUN') = 292
('VERB', 'DET', 'ADV') = 293
('ADP', 'NUM', 'ADP') = 294
('PRON', 'ADV', '.') = 294
('NOUN', 'ADP', 'PRT') = 295
('.', 'CONJ', 'ADJ') = 299
('ADP', 'DET', 'NUM') = 300
('NUM', '.', '.') = 300
('.', 'PRT', '.') = 304
('ADV', 'VERB', 'ADJ') = 304
('CONJ', 'PRT', 'VERB') = 305
('ADJ', 'VERB', 'NOUN') = 305
('CONJ', 'VERB', 'VERB') = 307
('', 'NOUN', '.') = 307
('VERB', 'NUM', 'NOUN') = 309
('.', '.', 'VERB') = 309
('ADV', '.', 'NOUN') = 311
('', 'ADV', 'DET') = 313
('ADV', '.', 'CONJ') = 314
('.', 'NOUN', 'CONJ') = 314
('DET', 'VERB', 'ADV') = 315
('ADP', 'DET', '.') = 317
('.', 'ADP', 'ADJ') = 318
('NOUN', 'CONJ', 'ADV') = 318
('ADV', 'NOUN', 'VERB') = 321
('DET', 'ADJ', 'CONJ') = 321
('DET', 'ADP', 'DET') = 322
('NOUN', 'ADV', 'ADV') = 324
('ADV', '.', 'ADV') = 325
('', 'ADP', 'PRON') = 330
('VERB', '.', 'NOUN') = 331
('VERB', 'NOUN', 'ADV') = 331
('NUM', 'NOUN', 'VERB') = 332
('CONJ', 'VERB', '.') = 337
('NOUN', 'ADP', 'ADV') = 337
('CONJ', 'ADJ', '.') = 338
('NOUN', 'ADP', 'ADP') = 339
('ADV', 'ADV', 'ADJ') = 341
('', '.', 'DET') = 342
('ADP', 'NUM', '.') = 342
('ADP', 'DET', 'ADV') = 344
('ADP', 'PRT', 'VERB') = 349
('.', 'ADV', 'ADV') = 352
('VERB', 'ADJ', 'CONJ') = 354
('DET', 'NUM', 'NOUN') = 355
('CONJ', 'VERB', 'PRT') = 356
('NOUN', 'NOUN', 'ADV') = 359
('VERB', 'ADP', 'NUM') = 360
('', '.', 'NOUN') = 364
('PRON', 'PRT', 'VERB') = 366
('ADP', 'ADJ', 'ADJ') = 366
('CONJ', 'ADV', 'VERB') = 369
('VERB', 'PRON', 'DET') = 370
('CONJ', 'VERB', 'ADV') = 373
('ADJ', '.', 'CONJ') = 374
('.', 'VERB', 'PRT') = 375
('ADP', 'NOUN', 'ADV') = 377
('VERB', 'VERB', 'CONJ') = 380
('VERB', '.', 'ADV') = 380
('VERB', 'ADJ', 'PRT') = 380
('ADP', 'PRON', 'ADP') = 382
('VERB', '.', 'DET') = 387
('ADJ', 'NOUN', 'PRT') = 387
('NOUN', '.', 'PRT') = 387
('VERB', 'ADP', 'ADP') = 388
('ADP', 'VERB', 'ADP') = 391
('NOUN', 'CONJ', 'ADP') = 392
('CONJ', 'VERB', 'NOUN') = 393
('ADV', 'VERB', 'ADV') = 396
('.', 'ADV', 'ADP') = 396
('NUM', 'ADP', 'DET') = 396
('ADJ', 'ADP', 'PRON') = 400
('NOUN', '.', 'NUM') = 402
('ADV', '.', 'PRON') = 403
('.', 'VERB', '.') = 405
('.', 'ADJ', '.') = 407
('.', '.', 'CONJ') = 410
('CONJ', 'VERB', 'PRON') = 416
('ADJ', 'NOUN', 'DET') = 422
('ADJ', '.', '.') = 424
('NOUN', 'ADJ', 'ADP') = 425
('', '', 'NUM') = 426
('.', 'NOUN', 'ADP') = 431
('ADV', 'ADV', 'VERB') = 438
('', 'ADV', 'PRON') = 446
('DET', 'VERB', 'DET') = 448
('DET', 'NOUN', 'ADJ') = 452
('.', '.', 'DET') = 460
('ADP', 'NOUN', 'NUM') = 460
('ADV', 'DET', 'ADJ') = 471
('ADV', '.', 'VERB') = 474
('ADV', 'ADP', 'PRON') = 477
('', '.', 'ADV') = 484
('.', 'VERB', 'ADV') = 490
('', '.', 'VERB') = 491
('ADJ', 'NOUN', 'PRON') = 496
('ADV', '.', 'DET') = 496
('VERB', 'DET', 'VERB') = 500
('ADV', '.', 'ADP') = 502
('', 'ADJ', 'NOUN') = 505
('VERB', 'NOUN', 'CONJ') = 508
('VERB', 'ADP', 'VERB') = 509
('VERB', 'PRON', 'PRT') = 519
('ADV', 'VERB', 'PRT') = 524
('ADJ', '.', 'ADJ') = 525
('PRON', '.', '.') = 526
('NOUN', 'CONJ', 'ADJ') = 529
('PRT', '.', 'STOP') = 529
('ADP', 'VERB', 'DET') = 531
('.', 'NUM', '.') = 536
('ADV', 'ADV', 'ADP') = 537
('NOUN', 'ADV', 'ADP') = 538
('ADJ', 'NOUN', 'ADV') = 538
('VERB', '.', 'ADP') = 540
('.', 'VERB', 'NOUN') = 553
('ADV', 'VERB', 'NOUN') = 556
('ADV', 'VERB', 'VERB') = 556
('.', 'ADP', 'PRON') = 559
('VERB', 'ADV', 'DET') = 559
('PRT', 'VERB', 'PRT') = 566
('VERB', '.', 'CONJ') = 571
('DET', 'PRON', 'VERB') = 572
('', 'ADP', 'NOUN') = 575
('.', 'ADV', 'VERB') = 576
('NOUN', 'ADJ', 'NOUN') = 578
('DET', 'VERB', 'VERB') = 578
('.', 'CONJ', 'ADP') = 579
('CONJ', 'DET', 'ADJ') = 587
('ADV', 'VERB', 'PRON') = 592
('ADV', 'PRT', 'VERB') = 593
('DET', 'ADV', 'ADJ') = 594
('PRT', 'VERB', 'ADJ') = 597
('', 'DET', 'VERB') = 600
('CONJ', 'ADP', 'DET') = 602
('ADV', 'ADV', '.') = 603
('VERB', 'PRON', 'ADV') = 606
('VERB', '.', 'VERB') = 621
('NUM', '.', 'STOP') = 624
('VERB', 'PRT', '.') = 628
('NOUN', 'DET', 'VERB') = 632
('ADP', 'ADP', 'DET') = 633
('.', 'VERB', 'PRON') = 645
('DET', 'ADJ', '.') = 649
('.', 'DET', 'VERB') = 653
('.', 'CONJ', 'ADV') = 655
('NOUN', 'NUM', '.') = 656
('VERB', 'PRT', 'DET') = 658
('.', 'VERB', 'VERB') = 659
('PRT', 'VERB', 'ADV') = 660
('ADJ', 'PRT', 'VERB') = 671
('.', 'CONJ', 'NOUN') = 671
('ADV', '.', '.') = 675
('NUM', 'NOUN', 'ADP') = 676
('NUM', 'NOUN', '.') = 679
('', '.', 'PRON') = 681
('DET', 'NOUN', 'DET') = 683
('', '.', 'PRT') = 683
('NOUN', '.', 'ADJ') = 695
('', 'NOUN', 'NOUN') = 696
('ADJ', 'ADP', 'NOUN') = 699
('ADV', 'ADP', 'NOUN') = 706
('NOUN', 'VERB', 'PRON') = 709
('', 'PRT', 'VERB') = 718
('PRON', 'ADV', 'VERB') = 718
('NOUN', 'ADP', 'NUM') = 727
