inside tagger function

getting E values...
underneath|ADP=4.55504775208e-05
cooking|NOUN=1.65604040739e-05
Switches|NOUN=8.28020203693e-06
stuff|NOUN=0.000149043636665
explosion|NOUN=4.96812122216e-05
Defense|NOUN=0.000165604040739
wide|ADJ=0.00159052267866
clue|NOUN=5.79614142585e-05
groaning|VERB=1.11400753069e-05
determinedly|ADV=3.61232525377e-05
shedding|VERB=1.11400753069e-05
Headquarters|NOUN=2.48406061108e-05
remounting|VERB=1.11400753069e-05
Y'all|PRON=0.000110176649895
delightful|ADJ=8.22684144134e-05
reddish|ADJ=2.74228048045e-05
chainlike|ADJ=2.74228048045e-05
pardons|NOUN=8.28020203693e-06
empathy|NOUN=8.28020203693e-06
**yc|NOUN=6.62416162954e-05
inter-species|ADJ=2.74228048045e-05
involutorial|ADJ=8.22684144134e-05
tonic|NOUN=8.28020203693e-06
near|ADV=0.00046960228299
CSF|NOUN=8.28020203693e-06
Cross|NOUN=2.48406061108e-05
bustle|NOUN=1.65604040739e-05
Earlier|ADV=3.61232525377e-05
immediately|ADV=0.00184228587942
origin/destination|NOUN=8.28020203693e-06
mating|VERB=4.45603012276e-05
seven-o'clock|NOUN=8.28020203693e-06
blotting|VERB=2.22801506138e-05
local|ADJ=0.0037020786486
unattainable|ADJ=2.74228048045e-05
scales|NOUN=3.31208081477e-05
cord|NOUN=4.96812122216e-05
malingering|NOUN=8.28020203693e-06
cackly|ADJ=2.74228048045e-05
disregard|VERB=2.22801506138e-05
instant|ADJ=8.22684144134e-05
indicative|ADJ=8.22684144134e-05
silver-gray|ADJ=2.74228048045e-05
quill|NOUN=8.28020203693e-06
flopped|VERB=6.68404518415e-05
spike|VERB=1.11400753069e-05
impotence|NOUN=8.28020203693e-06
gaze|NOUN=5.79614142585e-05
summers|NOUN=4.96812122216e-05
incredible|ADJ=0.000329073657654
Quick|ADV=7.22465050753e-05
375|NUM=0.00015006002401
reorganizing|VERB=1.11400753069e-05
handing|VERB=3.34202259207e-05
Frondel|NOUN=8.28020203693e-06
Whiteley|NOUN=8.28020203693e-06
axial|ADJ=2.74228048045e-05
interne|NOUN=1.65604040739e-05
recognize|VERB=0.000278501882673
adventures|NOUN=4.14010101846e-05
Feedback|NOUN=8.28020203693e-06
panic|NOUN=0.000132483232591
Squatting|VERB=1.11400753069e-05
culturally|ADV=7.22465050753e-05
Romaniuk|NOUN=8.28020203693e-06
non-thermal|ADJ=5.4845609609e-05
plastic|NOUN=1.65604040739e-05
precedents|NOUN=8.28020203693e-06
top-grade|NOUN=8.28020203693e-06
happenings|NOUN=8.28020203693e-06
dress|VERB=3.34202259207e-05
Eden|NOUN=2.48406061108e-05
Gyrocompass|NOUN=1.65604040739e-05
Tumor|NOUN=3.31208081477e-05
Macon|NOUN=8.28020203693e-06
1912|NUM=0.00105042016807
deliver|VERB=7.79805271484e-05
orphanage|NOUN=8.28020203693e-06
eyepiece|NOUN=8.28020203693e-06
martinis|NOUN=1.65604040739e-05
oak|NOUN=5.79614142585e-05
factories|NOUN=8.28020203693e-05
refectories|NOUN=8.28020203693e-06
Coons|NOUN=2.48406061108e-05
evaluate|VERB=8.91206024553e-05
lecher|NOUN=8.28020203693e-06
threes|NOUN=1.65604040739e-05
renaissance|NOUN=8.28020203693e-06
Cried|VERB=2.22801506138e-05
dream|NOUN=0.000124203030554
theater-going|NOUN=8.28020203693e-06
near-equivalents|NOUN=8.28020203693e-06
fingers|NOUN=0.000389169495736
schoolgirlish|ADJ=2.74228048045e-05
epoxy|NOUN=8.28020203693e-06
playwright-director|NOUN=8.28020203693e-06
What|DET=0.00398961433728
nine|NUM=0.00570228091236
blue|NOUN=3.31208081477e-05
Resolution|NOUN=1.65604040739e-05
branched|VERB=1.11400753069e-05
moths|NOUN=1.65604040739e-05
Child's|NOUN=8.28020203693e-06
confidence|NOUN=0.000140763434628
Santo|NOUN=1.65604040739e-05
intratissue|ADJ=2.74228048045e-05
companion|NOUN=9.10822224062e-05
Delaware|NOUN=0.000165604040739
quo|X=0.00338983050847
Greg's|NOUN=8.28020203693e-05
net|ADJ=0.000329073657654
coccidioidomycosis|NOUN=8.28020203693e-06
Square|VERB=1.11400753069e-05
none|NOUN=0.000372609091662
Rorschach|NOUN=8.28020203693e-06
exclusion|NOUN=2.48406061108e-05
tutor|NOUN=8.28020203693e-06
occupy|VERB=5.57003765345e-05
accruing|VERB=6.68404518415e-05
mammalian|ADJ=0.000137114024022
Darwen|NOUN=8.28020203693e-06
gold-wire|NOUN=8.28020203693e-06
veracity|NOUN=1.65604040739e-05
Following|VERB=5.57003765345e-05
AIMO|NOUN=4.14010101846e-05
horsemen|NOUN=2.48406061108e-05
mechanochemically|ADV=3.61232525377e-05
addressed|VERB=0.000111400753069
files|NOUN=6.62416162954e-05
unresponsive|ADJ=2.74228048045e-05
Generale|X=0.00508474576271
push|VERB=0.000178241204911
harvesting|VERB=1.11400753069e-05
unorthodox|ADJ=2.74228048045e-05
novitiate|NOUN=8.28020203693e-06
attempted|VERB=0.000155961054297
radiography|NOUN=8.28020203693e-06
allotments|NOUN=6.62416162954e-05
Bartoli's|NOUN=8.28020203693e-06
pond|NOUN=0.000140763434628
partings|NOUN=8.28020203693e-06
scout|NOUN=4.14010101846e-05
concerning|ADP=0.000455504775208
n-dimensional|NOUN=8.28020203693e-06
1881|NUM=0.000300120048019
oath|NOUN=3.31208081477e-05
nearer|ADJ=5.4845609609e-05
Employer|NOUN=8.28020203693e-06
Tenements|NOUN=8.28020203693e-06
apocalyptic|ADJ=5.4845609609e-05
corporeal|ADJ=2.74228048045e-05
misleading|VERB=3.34202259207e-05
pertinence|NOUN=1.65604040739e-05
gothic|ADJ=2.74228048045e-05
pores|NOUN=1.65604040739e-05
complying|VERB=2.22801506138e-05
style|NOUN=0.000240125859071
horizons|NOUN=1.65604040739e-05
perilous|ADJ=2.74228048045e-05
digestive|ADJ=2.74228048045e-05
urban|ADJ=0.000466187681676
Costaggini's|NOUN=8.28020203693e-06
Hemisphere|NOUN=1.65604040739e-05
supplier|NOUN=2.48406061108e-05
phosphines|NOUN=8.28020203693e-06
bothersome|ADJ=2.74228048045e-05
childless|ADJ=2.74228048045e-05
choppy|ADJ=5.4845609609e-05
organic|ADJ=0.000712992924916
wreathed|VERB=1.11400753069e-05
voting|VERB=0.000100260677762
preaching|NOUN=4.14010101846e-05
honoring|VERB=3.34202259207e-05
swathed|VERB=1.11400753069e-05
beg|VERB=7.79805271484e-05
truck|NOUN=0.000347768485551
centuries-old|ADJ=2.74228048045e-05
carts|NOUN=8.28020203693e-06
plump|ADJ=5.4845609609e-05
Camaret|NOUN=3.31208081477e-05
generalize|VERB=2.22801506138e-05
anonymity|NOUN=1.65604040739e-05
footballer's|NOUN=8.28020203693e-06
drug|NOUN=4.96812122216e-05
congratulation|NOUN=8.28020203693e-06
vehemence|NOUN=8.28020203693e-06
ratings|NOUN=6.62416162954e-05
context|NOUN=0.000140763434628
disjointed|VERB=1.11400753069e-05
non-Federal|ADJ=2.74228048045e-05
Nick's|NOUN=5.79614142585e-05
Wanna|VERB=2.22801506138e-05
ruining|VERB=1.11400753069e-05
stone-still|ADJ=2.74228048045e-05
behahn|ADP=1.51834925069e-05
explores|VERB=1.11400753069e-05
precede|VERB=1.11400753069e-05
effectively|ADV=0.000505725535527
culprits|NOUN=8.28020203693e-06
Quakeress|NOUN=8.28020203693e-06
Temperatures|NOUN=8.28020203693e-06
influenced|VERB=3.34202259207e-05
Personnel|NOUN=1.65604040739e-05
shaken|VERB=5.57003765345e-05
convicted|VERB=1.11400753069e-05
dame|NOUN=8.28020203693e-06
Unifil|NOUN=4.14010101846e-05
Reverdy|NOUN=8.28020203693e-06
Gee|PRT=6.40122903597e-05
Bottega|NOUN=8.28020203693e-06
subsection|NOUN=0.00010764262648
experienced|VERB=0.000300782033287
casts|NOUN=1.65604040739e-05
vigor|NOUN=1.65604040739e-05
alertness|NOUN=1.65604040739e-05
filtering|NOUN=1.65604040739e-05
clumsy|ADJ=0.000109691219218
gastrointestinal|ADJ=2.74228048045e-05
justifiable|ADJ=2.74228048045e-05
potentiality|NOUN=8.28020203693e-06
Mound|NOUN=8.28020203693e-06
Maturity|NOUN=2.48406061108e-05
potters|NOUN=5.79614142585e-05
depend|VERB=0.000211661430831
nawt|ADV=3.61232525377e-05
1964|NUM=0.000300120048019
breadth|NOUN=1.65604040739e-05
block|NOUN=0.000289807071293
seats|NOUN=1.65604040739e-05
strychnine|NOUN=2.48406061108e-05
affected|VERB=8.91206024553e-05
2.0|NUM=0.000300120048019
lighter|NOUN=1.65604040739e-05
skipper|NOUN=8.28020203693e-06
singing|VERB=0.00014482097899
write|VERB=0.000401042711049
specimens|NOUN=5.79614142585e-05
rented|VERB=3.34202259207e-05
apparently|ADV=0.00137268359643
Eight|NUM=0.000600240096038
nighttime|ADJ=0.000329073657654
shuttling|VERB=1.11400753069e-05
alias|NOUN=8.28020203693e-06
regulative|ADJ=2.74228048045e-05
string|NOUN=4.14010101846e-05
Boogie|NOUN=8.28020203693e-06
Robert|NOUN=9.10822224062e-05
5.4|NUM=0.00015006002401
vulnerable|ADJ=0.000137114024022
Security|NOUN=6.62416162954e-05
Trading|VERB=1.11400753069e-05
Development|NOUN=9.10822224062e-05
screened|VERB=1.11400753069e-05
imitation-woodgrain|NOUN=8.28020203693e-06
gravitational|ADJ=0.000109691219218
Print|VERB=1.11400753069e-05
overnighters|NOUN=2.48406061108e-05
sizzled|VERB=2.22801506138e-05
25%|NOUN=1.65604040739e-05
determining|VERB=0.000245081656752
unexamined|ADJ=2.74228048045e-05
browny|ADJ=2.74228048045e-05
lapidary|NOUN=8.28020203693e-06
recontamination|NOUN=8.28020203693e-06
spaces|NOUN=6.62416162954e-05
guardedness|NOUN=8.28020203693e-06
unsigned|ADJ=2.74228048045e-05
ghost|NOUN=4.96812122216e-05
husband's|NOUN=7.45218183324e-05
wandering|VERB=4.45603012276e-05
Railway|NOUN=8.28020203693e-06
pitiless|ADJ=2.74228048045e-05
time-span|NOUN=8.28020203693e-06
completed|VERB=0.00028964195798
He|PRON=0.0731205699805
guard|VERB=3.34202259207e-05
misjudged|VERB=2.22801506138e-05
indoors|ADV=3.61232525377e-05
hoaxes|NOUN=8.28020203693e-06
brother's|NOUN=6.62416162954e-05
than|ADP=0.0108106466649
t's|NOUN=8.28020203693e-06
fetching|VERB=1.11400753069e-05
du|NOUN=8.28020203693e-06
braces|NOUN=8.28020203693e-06
reshaped|VERB=1.11400753069e-05
cubist|ADJ=2.74228048045e-05
Soxhlet|NOUN=8.28020203693e-06
shoulder|VERB=1.11400753069e-05
grasp|NOUN=8.28020203693e-06
long-acting|ADJ=2.74228048045e-05
surprised|VERB=0.000456743087583
investments|NOUN=2.48406061108e-05
forte|NOUN=1.65604040739e-05
cage|NOUN=2.48406061108e-05
unwisely|ADV=3.61232525377e-05
instinct|NOUN=3.31208081477e-05
associate|VERB=2.22801506138e-05
innumerable|ADJ=5.4845609609e-05
pitiable|ADJ=5.4845609609e-05
stagger|VERB=1.11400753069e-05
intradepartmental|ADJ=2.74228048045e-05
ergotropic|ADJ=2.74228048045e-05
muffled|VERB=0.000100260677762
Report|NOUN=0.000149043636665
Neal|NOUN=2.48406061108e-05
under|ADV=7.22465050753e-05
potatoes|NOUN=4.14010101846e-05
Eskimos|NOUN=1.65604040739e-05
Jacobs|NOUN=1.65604040739e-05
dosages|NOUN=3.31208081477e-05
Correggio|NOUN=8.28020203693e-06
told|VERB=0.0025844974712
masts|NOUN=8.28020203693e-06
airmail|NOUN=2.48406061108e-05
yodeling|VERB=2.22801506138e-05
thrown|VERB=0.000155961054297
consequence|NOUN=9.10822224062e-05
rumpus|NOUN=8.28020203693e-06
weekday|NOUN=8.28020203693e-06
soft|ADV=3.61232525377e-05
preserved|VERB=8.91206024553e-05
irritation|NOUN=8.28020203693e-06
Powers|NOUN=4.96812122216e-05
More|NOUN=9.93624244432e-05
Mediterranean|NOUN=2.48406061108e-05
conducted|VERB=0.000278501882673
dividend|NOUN=2.48406061108e-05
prepare|VERB=0.000178241204911
maternal|ADJ=0.000109691219218
double-crossed|VERB=1.11400753069e-05
chilling|VERB=4.45603012276e-05
silicone|NOUN=8.28020203693e-06
adored|VERB=1.11400753069e-05
define|VERB=0.000111400753069
slave's|NOUN=8.28020203693e-06
needless|ADJ=8.22684144134e-05
deliciously|ADV=3.61232525377e-05
unshelled|ADJ=2.74228048045e-05
dead|ADJ=0.00274228048045
sprue|NOUN=8.28020203693e-06
Syracuse|NOUN=8.28020203693e-06
epigrams|NOUN=8.28020203693e-06
Yarrow|NOUN=3.31208081477e-05
comport|VERB=1.11400753069e-05
Strategy|NOUN=8.28020203693e-06
signalizes|VERB=1.11400753069e-05
flood|NOUN=2.48406061108e-05
480|NUM=0.00015006002401
facet-plane's|NOUN=8.28020203693e-06
nondriver|NOUN=8.28020203693e-06
sweet-clover|NOUN=8.28020203693e-06
Inflammatory|ADJ=2.74228048045e-05
friendships|NOUN=1.65604040739e-05
appraising|VERB=1.11400753069e-05
gypsy|NOUN=8.28020203693e-06
subsumed|VERB=1.11400753069e-05
ores|NOUN=2.48406061108e-05
unity|NOUN=0.000124203030554
scraps|NOUN=8.28020203693e-06
hammer|NOUN=4.96812122216e-05
Will|VERB=0.000178241204911
countrymen|NOUN=1.65604040739e-05
everyone|NOUN=0.000248406061108
Oldsmobile|NOUN=8.28020203693e-06
begs|VERB=1.11400753069e-05
inner|ADJ=0.000493610486481
blood-flecked|ADJ=2.74228048045e-05
thrombosed|ADJ=2.74228048045e-05
Dangling|VERB=1.11400753069e-05
advance|VERB=6.68404518415e-05
Leona|NOUN=4.14010101846e-05
sharper|ADJ=8.22684144134e-05
manufactured|VERB=5.57003765345e-05
Jeroboam|NOUN=8.28020203693e-06
2a|NUM=0.00015006002401
hormones|NOUN=8.28020203693e-06
valuable|ADJ=0.000438764876872
humid|ADJ=2.74228048045e-05
ample|ADJ=0.000164536828827
belonged|VERB=0.00014482097899
unused|ADJ=5.4845609609e-05
220-degrees|NOUN=1.65604040739e-05
auditor|NOUN=8.28020203693e-06
Universities|NOUN=8.28020203693e-06
electoral|ADJ=0.000301650852849
Dunne|NOUN=3.31208081477e-05
Maybe|ADV=0.00187840913196
pettinesses|NOUN=8.28020203693e-06
weighing|VERB=4.45603012276e-05
glum|NOUN=8.28020203693e-06
fear|NOUN=0.000289807071293
predecessors|NOUN=8.28020203693e-06
Presbyterian|NOUN=8.28020203693e-06
Berlitz|NOUN=8.28020203693e-06
measurements|NOUN=0.000356048687588
transmitted|VERB=4.45603012276e-05
Tell|VERB=0.000222801506138
800|NUM=0.0015006002401
century|NOUN=0.00040572989981
slums|NOUN=8.28020203693e-06
Stained|VERB=1.11400753069e-05
wise|ADJ=0.000383919267263
happened|VERB=0.00093576632578
Sangallo|NOUN=8.28020203693e-06
Camels|NOUN=8.28020203693e-06
Hrothgar's|NOUN=8.28020203693e-06
ornament|NOUN=1.65604040739e-05
Cargill's|NOUN=8.28020203693e-06
hosts|NOUN=1.65604040739e-05
defending|VERB=6.68404518415e-05
McBride|NOUN=9.10822224062e-05
footsteps|NOUN=5.79614142585e-05
buddy|NOUN=8.28020203693e-05
Ferraro|NOUN=1.65604040739e-05
iron|NOUN=0.000132483232591
generated|VERB=7.79805271484e-05
dependent|ADJ=0.000575878900894
thousand-fold|NOUN=8.28020203693e-06
She'll|PRT=0.000320061451799
bikinis|NOUN=8.28020203693e-06
regaining|VERB=1.11400753069e-05
Leisurely|ADV=3.61232525377e-05
Rhinoceros|NOUN=8.28020203693e-06
Came|VERB=1.11400753069e-05
realities|NOUN=1.65604040739e-05
Scandinavians|NOUN=8.28020203693e-06
freeway|NOUN=3.31208081477e-05
Entirely|ADV=3.61232525377e-05
anybody|NOUN=0.000198724848886
demonstrate|VERB=0.000122540828376
derrick|NOUN=2.48406061108e-05
blonde|ADJ=0.000301650852849
Starkey|NOUN=8.28020203693e-06
permits|VERB=0.00014482097899
West|X=0.0271186440678
skullcap|NOUN=2.48406061108e-05
Whittaker|NOUN=8.28020203693e-06
rooftree|NOUN=8.28020203693e-06
elicits|VERB=1.11400753069e-05
unfertile|ADJ=2.74228048045e-05
Duclos|NOUN=4.96812122216e-05
ethics|NOUN=3.31208081477e-05
Done|VERB=3.34202259207e-05
threw|VERB=0.000367622485128
tombstone|NOUN=8.28020203693e-06
<UNKNOWN>|PRON=0.00183627749826
plus|CONJ=0.000562461330784
Lipowa|NOUN=8.28020203693e-06
thermodynamically|ADV=7.22465050753e-05
adjectives|NOUN=3.31208081477e-05
installments|NOUN=8.28020203693e-06
Then|ADJ=0.000219382438436
Terminiello|NOUN=8.28020203693e-06
concretistic-seeming|ADJ=2.74228048045e-05
mileage|NOUN=2.48406061108e-05
over|ADJ=8.22684144134e-05
revealed|VERB=0.000155961054297
rents|NOUN=8.28020203693e-06
planoconcave|ADJ=2.74228048045e-05
Such|PRT=0.00102419664576
Table|NOUN=0.000372609091662
Wynn|NOUN=8.28020203693e-06
oxaloacetic|ADJ=2.74228048045e-05
credo|NOUN=4.96812122216e-05
triviality|NOUN=8.28020203693e-06
Sweat|NOUN=2.48406061108e-05
twelve|NUM=0.00375150060024
fieldstone|NOUN=8.28020203693e-06
speakers|NOUN=1.65604040739e-05
denied|VERB=0.000311922108593
overcomes|VERB=1.11400753069e-05
calorimetric|ADJ=2.74228048045e-05
sifting|NOUN=8.28020203693e-06
pored|VERB=1.11400753069e-05
Italians|NOUN=1.65604040739e-05
screenland|NOUN=8.28020203693e-06
begging|NOUN=8.28020203693e-06
sneak|VERB=1.11400753069e-05
stylized|VERB=1.11400753069e-05
Jen|NOUN=4.96812122216e-05
Denny's|NOUN=8.28020203693e-06
lease|VERB=1.11400753069e-05
crew|NOUN=9.93624244432e-05
auxiliary|ADJ=0.000109691219218
condensation|NOUN=4.14010101846e-05
Bury|VERB=1.11400753069e-05
vos|X=0.00169491525424
learn|VERB=0.000278501882673
iodoprotein|NOUN=8.28020203693e-06
grandmother|NOUN=3.31208081477e-05
protests|NOUN=1.65604040739e-05
share|NOUN=0.000223565454997
jackass|NOUN=1.65604040739e-05
hard-come-by|ADJ=2.74228048045e-05
feeds|VERB=1.11400753069e-05
shake|NOUN=1.65604040739e-05
ancillary|ADJ=2.74228048045e-05
Sportin'|VERB=2.22801506138e-05
model|ADJ=2.74228048045e-05
1,343|NUM=0.00015006002401
darn|NOUN=8.28020203693e-06
blues|NOUN=8.28020203693e-06
instruments|NOUN=6.62416162954e-05
Domicilium|NOUN=8.28020203693e-06
Such|ADJ=0.000987220972961
Brakes|NOUN=1.65604040739e-05
tone|NOUN=0.00043057050592
forfeit|VERB=2.22801506138e-05
into|ADP=0.0143180334341
Gunnar|NOUN=1.65604040739e-05
Poitrine|NOUN=2.48406061108e-05
Private|ADJ=5.4845609609e-05
remote|ADJ=0.00054845609609
fluorescein|NOUN=8.28020203693e-06
Based|VERB=1.11400753069e-05
Photek|NOUN=8.28020203693e-06
taking|VERB=0.00093576632578
Returns|NOUN=1.65604040739e-05
distillation|NOUN=1.65604040739e-05
$380|NOUN=8.28020203693e-06
bowing|NOUN=8.28020203693e-06
regression|NOUN=5.79614142585e-05
freshly|ADV=3.61232525377e-05
presage|VERB=1.11400753069e-05
hen|NOUN=0.000140763434628
Daily|ADJ=0.000521033291285
foreknowledge|NOUN=8.28020203693e-06
'till|ADP=1.51834925069e-05
Mother's|NOUN=8.28020203693e-06
Boot|NOUN=8.28020203693e-06
executed|VERB=5.57003765345e-05
1980|NUM=0.00015006002401
overvaulting|ADJ=2.74228048045e-05
Chiba|NOUN=8.28020203693e-06
trompe-l'oeil|X=0.00169491525424
briskly|ADV=0.000108369757613
so-so|ADJ=2.74228048045e-05
rivulets|NOUN=8.28020203693e-06
newly-scrubbed|ADJ=2.74228048045e-05
Swadesh|NOUN=6.62416162954e-05
spouses|NOUN=2.48406061108e-05
deficiency|NOUN=4.96812122216e-05
Laswick|NOUN=8.28020203693e-06
chancellor|NOUN=1.65604040739e-05
Membership|NOUN=2.48406061108e-05
lady's|NOUN=3.31208081477e-05
hooch|NOUN=8.28020203693e-06
profanity|NOUN=2.48406061108e-05
blooms|NOUN=2.48406061108e-05
click|NOUN=8.28020203693e-06
monopolies|NOUN=1.65604040739e-05
al|X=0.0101694915254
disseminating|VERB=1.11400753069e-05
humor|NOUN=0.000149043636665
flintless|ADJ=2.74228048045e-05
Reaction|NOUN=8.28020203693e-06
59,780|NUM=0.00015006002401
hungry|ADJ=0.000411342072067
inoculations|NOUN=8.28020203693e-06
paradoxically|ADV=7.22465050753e-05
journeyed|VERB=1.11400753069e-05
leavened|ADJ=2.74228048045e-05
theoreticians|NOUN=8.28020203693e-06
substituted|VERB=0.000100260677762
sumptuous|ADJ=5.4845609609e-05
locker|NOUN=4.96812122216e-05
doan|VERB=1.11400753069e-05
petition|VERB=1.11400753069e-05
order|NOUN=0.00130827192183
Angrily|ADV=3.61232525377e-05
drones|NOUN=1.65604040739e-05
summed|VERB=1.11400753069e-05
Greenwich|NOUN=1.65604040739e-05
compulsively|ADV=3.61232525377e-05
accept|VERB=0.000189381280217
Neutral|ADJ=0.000164536828827
Carrozza|X=0.00169491525424
exquisitely|ADV=3.61232525377e-05
Quaker|NOUN=8.28020203693e-06
alors|X=0.00169491525424
neutrophils|NOUN=4.14010101846e-05
comes|VERB=0.000412182786356
forego|VERB=1.11400753069e-05
featuring|VERB=1.11400753069e-05
beriberi|NOUN=8.28020203693e-06
finishes|NOUN=8.28020203693e-06
last|ADJ=0.00581363461855
4.7|NUM=0.00015006002401
love|VERB=0.000278501882673
dang|ADJ=2.74228048045e-05
Sunday|NOUN=0.000165604040739
Aristide|NOUN=1.65604040739e-05
tumours|NOUN=8.28020203693e-06
lawyer|NOUN=0.000115922828517
beams|NOUN=8.28020203693e-05
nilpotent|ADJ=0.000329073657654
man's|NOUN=0.000521652728327
folk|NOUN=8.28020203693e-05
yarn|NOUN=6.62416162954e-05
bereavements|NOUN=8.28020203693e-06
contemporary|ADJ=0.000164536828827
angels|NOUN=5.79614142585e-05
convoluted|VERB=1.11400753069e-05
gamebird|NOUN=8.28020203693e-06
legal|ADJ=0.000658147315307
En|X=0.00169491525424
dark-gray|ADJ=2.74228048045e-05
lie|VERB=0.000300782033287
proteolysis|NOUN=1.65604040739e-05
sneaks|VERB=1.11400753069e-05
shortly|ADV=0.000252862767764
maybe|ADV=0.00209514864718
well-grooved|ADJ=2.74228048045e-05
Petey|NOUN=8.28020203693e-06
Chemische|X=0.00677966101695
notch|NOUN=8.28020203693e-06
sensibility|NOUN=8.28020203693e-06
Educational|ADJ=8.22684144134e-05
Rosalie|NOUN=8.28020203693e-06
thrashed|VERB=3.34202259207e-05
wretched|ADJ=0.000109691219218
Swadesh's|NOUN=1.65604040739e-05
tiredness|NOUN=8.28020203693e-06
Jorge|NOUN=2.48406061108e-05
Body|NOUN=2.48406061108e-05
transformer|NOUN=8.28020203693e-06
120|NUM=0.000450180072029
gourmet|NOUN=1.65604040739e-05
Everyone|NOUN=9.10822224062e-05
loose-leaf|NOUN=8.28020203693e-06
Nod|NOUN=8.28020203693e-06
pumped|VERB=3.34202259207e-05
winds|VERB=2.22801506138e-05
financial|ADJ=0.00101464377777
Executive|ADJ=5.4845609609e-05
mough|NOUN=8.28020203693e-06
inference|NOUN=4.96812122216e-05
somatic|ADJ=5.4845609609e-05
gnomelike|ADJ=2.74228048045e-05
played-out|ADJ=5.4845609609e-05
hummocks|NOUN=8.28020203693e-06
majority|NOUN=0.000149043636665
gages|NOUN=1.65604040739e-05
shooting|NOUN=4.14010101846e-05
Wattenberg|NOUN=8.28020203693e-06
hereunto|ADV=0.000252862767764
adolescence|NOUN=2.48406061108e-05
'49|NUM=0.00015006002401
funnier|ADJ=2.74228048045e-05
weakened|VERB=1.11400753069e-05
Curie-Weiss|NOUN=8.28020203693e-06
parried|VERB=1.11400753069e-05
paperwads|NOUN=8.28020203693e-06
Vowel|NOUN=8.28020203693e-06
microwaves|NOUN=8.28020203693e-06
Poultry|NOUN=8.28020203693e-06
increased|VERB=0.00093576632578
Fritzie|NOUN=4.96812122216e-05
spreading|NOUN=8.28020203693e-06
nights|NOUN=0.000140763434628
pots|NOUN=3.31208081477e-05
data-handling|NOUN=8.28020203693e-06
signpost|NOUN=1.65604040739e-05
explode|VERB=3.34202259207e-05
dispositions|NOUN=8.28020203693e-06
electrostatic|ADJ=0.000164536828827
jimmied|VERB=1.11400753069e-05
Including|ADP=1.51834925069e-05
strictly|ADV=0.000505725535527
bonfire|NOUN=8.28020203693e-06
two-story|ADJ=0.000137114024022
Important|ADJ=5.4845609609e-05
slip|NOUN=3.31208081477e-05
Clemente|NOUN=1.65604040739e-05
Samar|NOUN=8.28020203693e-06
Dowling's|NOUN=8.28020203693e-06
kin|VERB=1.11400753069e-05
buys|VERB=3.34202259207e-05
25.3|NUM=0.00015006002401
outlined|VERB=2.22801506138e-05
lingerie|NOUN=1.65604040739e-05
boy's|NOUN=6.62416162954e-05
intruded|VERB=1.11400753069e-05
haphazardly|ADV=3.61232525377e-05
hearing|VERB=0.000167101129604
neglecting|VERB=3.34202259207e-05
centimeter|NOUN=1.65604040739e-05
bitters|NOUN=8.28020203693e-06
Brenner's|NOUN=2.48406061108e-05
formidable|X=0.00169491525424
Jonathan's|NOUN=3.31208081477e-05
houses|NOUN=0.000314647677403
advisedly|ADV=3.61232525377e-05
obligational|ADJ=2.74228048045e-05
tart|NOUN=8.28020203693e-06
Multiphastic|ADJ=2.74228048045e-05
girlie|NOUN=8.28020203693e-06
RDWS|NOUN=3.31208081477e-05
modifies|VERB=1.11400753069e-05
producing|VERB=0.000189381280217
foaming|VERB=2.22801506138e-05
shopkeepers|NOUN=8.28020203693e-06
honor|VERB=4.45603012276e-05
Associate|NOUN=1.65604040739e-05
courtliness|NOUN=8.28020203693e-06
painter|NOUN=5.79614142585e-05
far-away|ADJ=2.74228048045e-05
dream|VERB=7.79805271484e-05
contrasts|VERB=2.22801506138e-05
infiltrated|VERB=2.22801506138e-05
32-degrees-C|X=0.00169491525424
605|NUM=0.00015006002401
fluidity|NOUN=8.28020203693e-06
selection-rejection|NOUN=8.28020203693e-06
cleaners|NOUN=4.14010101846e-05
denote|VERB=3.34202259207e-05
miss|VERB=0.000111400753069
1954|NUM=0.00285114045618
Nassau|NOUN=2.48406061108e-05
hastened|VERB=2.22801506138e-05
yesterday|NOUN=0.000115922828517
notebook|NOUN=1.65604040739e-05
detectives|NOUN=7.45218183324e-05
asymmetrically|ADV=7.22465050753e-05
archenemy|NOUN=8.28020203693e-06
swarming|VERB=2.22801506138e-05
elders|NOUN=3.31208081477e-05
nobleman|NOUN=8.28020203693e-06
recording|VERB=3.34202259207e-05
Subways|NOUN=8.28020203693e-06
puffing|VERB=1.11400753069e-05
Norman|NOUN=1.65604040739e-05
out|ADP=0.00334036835153
silly|ADJ=0.000301650852849
factual|ADJ=5.4845609609e-05
identical|ADJ=0.000575878900894
Mike|NOUN=0.000678976567028
safe|NOUN=4.14010101846e-05
postmark|NOUN=1.65604040739e-05
Kneeling|VERB=1.11400753069e-05
good-bye|PRT=0.000128024580719
Analysis|NOUN=4.14010101846e-05
ultimate|ADJ=0.00079526133933
Celie|NOUN=8.28020203693e-06
burglars|NOUN=8.28020203693e-06
Circuit|NOUN=8.28020203693e-06
repositories|NOUN=8.28020203693e-06
incidentals|NOUN=8.28020203693e-06
Senora|NOUN=8.28020203693e-06
titanium|NOUN=1.65604040739e-05
triangle|NOUN=2.48406061108e-05
murmured|VERB=0.000167101129604
long-distance|NOUN=8.28020203693e-06
co-occurring|VERB=1.11400753069e-05
thick|ADJ=0.00128887182581
